algorithm,implementation,ny,nx,n,block_y,block_x,time,mem_bandwidth,mem_bandwidth_cache,gflops,precision
SERIAL,cuda,1024,1024,100,1,1,6107,0.3427,0.2056,0.0685,4
SERIAL,cuda,256,256,100,1,1,426.94,0.3046,0.1827,0.0609,4
SERIAL,cpp,256,256,100,1,1,388,0.335,0.2011,0.067,4
SERIAL,cpp,1024,1024,100,1,1,6112,0.34133,0.2048,0.0682,4

WAVE,cuda,1024,1024,1000,16,16,2604.692,8.035721,4.821432,1.631711,4
WAVE,cuda,256,256,1000,16,16,199.24,6.52,3.916,1.305409,4

WAVE,cpp,1024,1024,1000,0,0,26873,0.77887,0.4661,0.155369,4
WAVE,cpp,512,512,1000,0,0,12910,0.404525,0.242715,0.080905,4
WAVE,cpp,256,256,1000,0,0,5991,0.21425,0.12855,0.04285,4

WAVE2,cuda,64,64,10000,16,16,3225.802734,0.246078,0.147647,0.049216,4
WAVE2,cuda,1024,1024,10000,16,16,108516.67,1.9287,1.527,0.3857,4
WAVE2,cpp,64,64,10000,0,0,15263,0.052008,0.031204,0.010401,4
WAVE2,cpp,1024,1024,10000,0,0,329043,0.636104,0.381662,0.12722,4
WAVE2,sender,64,64,10000,0,0,42040,0.018882,0.011329,0.003776,4
WAVE2,sender,1024,1024,10000,0,0,829138, 0.252437, 0.151462, 0.050487, 4


BLOCK_WAVE,cuda,1024,1024,10000,16,16,12859.795898,16.275,9.7655,3.2551,4
BLOCK_WAVE,cpp,1024,1024,10000,16,16,85236,2.4556,1.47336,0.49112,4

BLOCK_WAVE2,cpp,1024,1024,10000,16,16,516861,0.404955,0.24291,0.080907,4
BLOCK_WAVE2,cpp,1024,1024,10000,64,64,512329,0.408537,0.245122,0.0817,4

